date;EC
2002/01/01;15818
2002/02/01;14813
2002/03/01;16173
2002/04/01;15893
2002/05/01;17314
2002/06/01;17458
2002/07/01;18424
2002/08/01;17573
2002/09/01;16632
2002/10/01;17209
2002/11/01;16675
2002/12/01;16168
2003/01/01;16479
2003/02/01;15509
2003/03/01;17099
2003/04/01;16371
2003/05/01;17604
2003/06/01;17789
2003/07/01;18637
2003/08/01;18174
2003/09/01;16993
2003/10/01;17834
2003/11/01;17177
2003/12/01;16897
2004/01/01;17285
2004/02/01;16704
2004/03/01;17828
2004/04/01;16919
2004/05/01;18387
2004/06/01;18754
2004/07/01;19532
2004/08/01;18619
2004/09/01;17764
2004/10/01;18101
2004/11/01;17748
2004/12/01;17128
2005/01/01;17521
2005/02/01;16491
2005/03/01;17813
2005/04/01;17587
2005/05/01;18602
2005/06/01;18315
2005/07/01;18944
2005/08/01;18597
2005/09/01;17822
2005/10/01;18440
2005/11/01;17831
2005/12/01;17557
2006/01/01;17887
2006/02/01;16727
2006/03/01;18279
2006/04/01;17455
2006/05/01;19537
2006/06/01;19452
2006/07/01;19890
2006/08/01;19678
2006/09/01;18379
2006/10/01;18957
2006/11/01;18542
2006/12/01;18324
2007/01/01;18902
2007/02/01;17710
2007/03/01;19480
2007/04/01;18360
2007/05/01;20220
2007/06/01;20303
2007/07/01;21055
2007/08/01;20560
2007/09/01;18987
2007/10/01;19704
2007/11/01;19066
2007/12/01;18492
2008/01/01;18600
2008/02/01;17923
2008/03/01;18811
2008/04/01;18485
2008/05/01;19683
2008/06/01;19871
2008/07/01;20869
2008/08/01;19964
2008/09/01;19091
2008/10/01;19462
2008/11/01;18001
2008/12/01;16911
2009/01/01;17266
2009/02/01;16055
2009/03/01;17903
2009/04/01;17286
2009/05/01;18897
2009/06/01;19044
2009/07/01;20354
2009/08/01;19649
2009/09/01;18582
2009/10/01;19047
2009/11/01;18486
2009/12/01;18192
2010/01/01;18726
2010/02/01;17541
2010/03/01;19443
2010/04/01;18436
2010/05/01;19718
2010/06/01;20050
2010/07/01;20561
2010/08/01;19798
2010/09/01;18482
2010/10/01;19546
2010/11/01;18987
2010/12/01;18380
2011/01/01;18944
2011/02/01;17839
2011/03/01;19727
2011/04/01;18828
2011/05/01;20154
2011/06/01;20209
2011/07/01;20451
2011/08/01;19889
2011/09/01;18916
2011/10/01;19516
2011/11/01;18976
2011/12/01;18555
2012/01/01;18995
2012/02/01;18131
2012/03/01;18936
2012/04/01;17890
2012/05/01;19200
2012/06/01;19665
2012/07/01;20107
2012/08/01;19705
2012/09/01;18470
2012/10/01;18775
2012/11/01;18748
2012/12/01;17917
2013/01/01;18308
2013/02/01;16942
2013/03/01;18551
2013/04/01;18191
2013/05/01;19406
2013/06/01;19719
2013/07/01;20560
2013/08/01;20209
2013/09/01;18808
2013/10/01;19331
2013/11/01;18561
2013/12/01;18248
2014/01/01;18980
2014/02/01;17424
2014/03/01;18910
2014/04/01;18386
2014/05/01;19477
2014/06/01;19453
2014/07/01;20261
2014/08/01;19821
2014/09/01;18977
2014/10/01;19363
2014/11/01;18612
2014/12/01;18281
2015/01/01;18952
2015/02/01;17473
2015/03/01;19199
2015/04/01;18209
2015/05/01;19041
2015/06/01;19210
2015/07/01;19792
2015/08/01;18930
2015/09/01;18368
2015/10/01;18893
2015/11/01;18220
2015/12/01;18049
2016/01/01;18375
2016/02/01;17736
2016/03/01;18443
2016/04/01;18103
2016/05/01;19118
2016/06/01;18926
2016/07/01;19588
2016/08/01;19102
2016/09/01;18201
2016/10/01;18796
2016/11/01;18431
2016/12/01;18232
2017/01/01;18552
2017/02/01;17306
2017/03/01;19058
2017/04/01;18184
2017/05/01;19748
2017/06/01;19348
2017/07/01;19623
2017/08/01;19536
2017/09/01;18344
2017/10/01;19038
2017/11/01;18576
2017/12/01;18199
2018/01/01;18649
2018/02/01;17256
2018/03/01;18977
2018/04/01;18061
2018/05/01;19838
2018/06/01;19544
2018/07/01;20209
2018/08/01;19652
2018/09/01;18462
2018/10/01;19326
2018/11/01;18753
2018/12/01;18169
2019/01/01;18752
2019/02/01;17186
2019/03/01;18597
2019/04/01;18333
2019/05/01;19519
2019/06/01;19221
2019/07/01;19830
2019/08/01;18712
2019/09/01;18225
2019/10/01;19033
2019/11/01;18235
2019/12/01;17374
2020/01/01;18139
2020/02/01;17147
2020/03/01;17719
2020/04/01;14121
2020/05/01;16907
2020/06/01;18288
2020/07/01;19167
2020/08/01;18644
2020/09/01;17831
2020/10/01;18476
2020/11/01;17731
2020/12/01;17636
